Station,Date,Hour_UTC,Frequency_Hz,PLV,Hour_Threshold,Passed
FCHU,20260904,1,8.0,0.5464666511457233,0.4602379391842091,1
FCHU,20260904,1,8.1,0.47634179873856325,0.4602379391842091,1
FCHU,20260904,1,8.2,0.3361910654574254,0.4602379391842091,0
FCHU,20260904,1,8.3,0.2445530165316314,0.4602379391842091,0
FCHU,20260904,1,8.4,0.2260937320792265,0.4602379391842091,0
FCHU,20260904,1,8.5,0.2996231158618872,0.4602379391842091,0
FCHU,20260904,1,8.6,0.32290337036999867,0.4602379391842091,0
FCHU,20260904,1,8.7,0.3359188654424975,0.4602379391842091,0
FCHU,20260904,1,8.8,0.3271659251507414,0.4602379391842091,0
FCHU,20260904,1,8.9,0.18129687316425078,0.4602379391842091,0
FCHU,20260904,1,9.0,0.24763698971758644,0.4602379391842091,0
FCHU,20260904,1,9.1,0.10025495463389471,0.4602379391842091,0
FCHU,20260904,1,9.2,0.15040151498954382,0.4602379391842091,0
FCHU,20260904,1,9.3,0.13407060817880265,0.4602379391842091,0
FCHU,20260904,1,9.4,0.12292633278460417,0.4602379391842091,0
FCHU,20260904,1,9.5,0.19920840841272008,0.4602379391842091,0
FCHU,20260904,2,1.0,0.05584566111406257,0.552681959440973,0
FCHU,20260904,2,1.1,0.1661218726806926,0.552681959440973,0
FCHU,20260904,2,1.2,0.35844744620143915,0.552681959440973,0
FCHU,20260904,2,1.3,0.4262021560121195,0.552681959440973,0
FCHU,20260904,2,1.4,0.4033235141948193,0.552681959440973,0
FCHU,20260904,2,1.5,0.4291804960735865,0.552681959440973,0
FCHU,20260904,2,1.6,0.25191027798524634,0.552681959440973,0
FCHU,20260904,2,1.7,0.36874292033847667,0.552681959440973,0
FCHU,20260904,2,1.8,0.5118369895620787,0.552681959440973,0
FCHU,20260904,2,1.9,0.34053628876791114,0.552681959440973,0
FCHU,20260904,2,2.0,0.3579251290873729,0.552681959440973,0
FCHU,20260904,2,2.1,0.4417406815756716,0.552681959440973,0
FCHU,20260904,2,2.2,0.45815171236864777,0.552681959440973,0
FCHU,20260904,2,2.3,0.43417207780111766,0.552681959440973,0
FCHU,20260904,2,2.4,0.4562790465711458,0.552681959440973,0
FCHU,20260904,2,2.5,0.3500955762167196,0.552681959440973,0
FCHU,20260904,2,2.6,0.415259973172943,0.552681959440973,0
FCHU,20260904,2,2.7,0.5316449834276961,0.552681959440973,0
FCHU,20260904,2,2.8,0.5896984040644427,0.552681959440973,1
FCHU,20260904,2,2.9,0.5236581494222191,0.552681959440973,0
FCHU,20260904,2,3.0,0.4694095402354739,0.552681959440973,0
FCHU,20260904,2,3.1,0.3706996261107444,0.552681959440973,0
FCHU,20260904,2,3.2,0.40213182123922675,0.552681959440973,0
FCHU,20260904,2,3.3,0.546496561544113,0.552681959440973,0
FCHU,20260904,2,3.4,0.5195642496250517,0.552681959440973,0
