Frequency_Hz,Common_Geometric_Raw,Common_Geometric_Smoothed,Common_Arithmetic,Common_Minimum,FCHU_Normalized,FSMI_Normalized,ISLL_Normalized,MSTK_Normalized,PINA_Normalized
6.896,0.42405370175361806,0.4332033227106194,0.4630131424917255,0.184352202535939,0.184352202535939,0.42627116525785724,0.5802561103494369,0.6855313654645896,0.4386548688508046
6.897,0.43208841367948986,0.44094186654201906,0.4709732630046021,0.18547242986046433,0.18547242986046433,0.46225556041718596,0.5786455753771393,0.685831416474972,0.44266133289324894
6.898,0.4435327186632079,0.44935230424188,0.4818492208651339,0.19157674168994457,0.19157674168994457,0.5033157579403996,0.5768685834996575,0.6907580907124011,0.4467269304832664
6.899,0.4566121302744804,0.45803833645850095,0.49361193564858824,0.20214247151687215,0.20214247151687215,0.5394673509809039,0.5788211426931318,0.695467634231574,0.4521610788204595
6.9,0.4696337345952685,0.46654567870547176,0.5046758585648342,0.21521241445869171,0.21521241445869171,0.5702327899894107,0.5819198050929058,0.697139810935625,0.4588744723475377
6.901,0.48169978295683613,0.47491869058446395,0.5157019479090907,0.22520956062335448,0.22520956062335448,0.6004460248128347,0.5855015435841198,0.6982018775453659,0.46915073297977916
6.902,0.49124406560606104,0.4830848139321964,0.5245638887796445,0.23266252759132108,0.23266252759132108,0.627926655153863,0.5816337061437002,0.6988533185418191,0.48174323646751893
6.903,0.49808978047463026,0.4908924555167532,0.5303323283522764,0.24050814507296897,0.24050814507296897,0.6442941866709566,0.5759147907528368,0.7006208262595229,0.49032369300509704
6.904,0.5015862143011152,0.49824091720780755,0.5338421346199238,0.24285705209792569,0.24285705209792569,0.6521871034176537,0.5675734099422275,0.7072070604223542,0.49938604721945745
6.905,0.5063863533024191,0.5048589382380799,0.5375716756807218,0.25080746907181334,0.25080746907181334,0.6563669766192192,0.5557822326869061,0.7181193145976188,0.5067823854280519
6.906,0.5099318311427795,0.5105728546354047,0.5393842124132638,0.26025404244846595,0.26025404244846595,0.6521338622298192,0.5481434011271007,0.7256288642355858,0.5107608920253477
6.907,0.5127977516322102,0.5152147097258583,0.5403926845597345,0.27059173658446234,0.27059173658446234,0.6394740422376002,0.5410885543418255,0.7367829793198782,0.5140261103149063
6.908,0.5166747390947807,0.5191725471640947,0.5416942634733601,0.2851995309985413,0.2851995309985413,0.6266782375091466,0.5352735958167616,0.7440596519876833,0.5172603010546679
