t_s,mx,my,mz,yaw_deg,roll_deg,pitch_deg
430.21,8153.6902687588845,-4098.879745896219,-4197.225492609557,128.79292605471232,-17.234760224101844,22.65227069655219
430.21500000000003,8151.9592157698635,-4098.873336554752,-4197.582904720654,128.79293903557405,-17.291010171254573,22.662252618885955
430.22,8150.214949192905,-4097.427859275536,-4198.53833950996,128.79226099391565,-17.33758227701441,22.673921827194302
430.225,8149.189250483226,-4095.0071604880886,-4199.537379671301,128.7830802039501,-17.370475846002844,22.682319999514146
430.23,8149.1395004722035,-4092.211659260739,-4199.782312595863,128.76619807946935,-17.378889791455517,22.678413045524437
430.235,8149.598291508695,-4089.4434958944953,-4199.18887389758,128.74975803304824,-17.36320828763811,22.66859075717555
430.24,8150.031356762126,-4086.922689676202,-4198.520554306003,128.73355048945163,-17.33243673234062,22.662724280308442
430.245,8150.36837877911,-4084.662716371011,-4198.760324480531,128.7156865011384,-17.293282954115302,22.649385003379642
430.25,8150.808779203686,-4082.503399247305,-4200.3796886847285,128.69457562314494,-17.24625232789872,22.63452783477878
430.255,8151.386982118533,-4080.4010487663118,-4203.069501878175,128.6792343372959,-17.192638771749326,22.623613182312003
430.26,8151.830258196392,-4078.604869834289,-4206.251192656967,128.66175545157634,-17.14434442553936,22.613671446133758
430.265,8151.756470357485,-4077.401989635739,-4209.61788666083,128.64877802112161,-17.104501678320872,22.60970378873549
430.27,8151.042463997186,-4076.912739825557,-4212.931336860151,128.64219125382257,-17.07850131681925,22.61002185137369
430.275,8149.9143195030165,-4077.234054581333,-4215.484848555189,128.6328438383197,-17.059722730294123,22.609481947624037
430.28000000000003,8148.806708876792,-4078.4097594848263,-4216.236444837182,128.63476046125308,-17.05694076733784,22.61171394387246
430.285,8148.110583305139,-4080.1309314214604,-4214.44294632739,128.6398641675994,-17.06449380486356,22.62328282501732
430.29,8148.094938198197,-4081.8292770249095,-4210.126749042224,128.6464095592834,-17.082208673289976,22.63354453447583
430.295,8148.862512711299,-4083.1448149861876,-4204.110141345325,128.65796007423288,-17.105065063192885,22.645998315672323
430.3,8150.343942230027,-4084.164485519874,-4197.579045365777,128.66724678132084,-17.13260589755884,22.66137685653417
430.305,8152.2751049244225,-4085.1597277052188,-4191.683962931895,128.67366340253548,-17.15978910489574,22.672032555698664
430.31,8154.000608368388,-4086.1347234670116,-4187.533026436111,128.68382976251965,-17.186650653144916,22.683134428926376
430.315,8154.718898270662,-4086.7769947495985,-4185.940514165352,128.68876096945692,-17.206462868393515,22.69390389404357
430.32,8154.084224880696,-4086.8087589064257,-4186.692676992436,128.6947533744234,-17.216693581530592,22.704444176587103
430.325,8152.6577986274515,-4086.328219969884,-4188.633525384237,128.69899858210238,-17.220583611509852,22.708371823986234
430.33,8151.814168250945,-4085.7064051340744,-4190.411931904411,128.69942793781263,-17.214113959984303,22.709747044682796
430.335,8153.046719819772,-4085.2420314518163,-4190.770209479051,128.69841617656428,-17.202844452427286,22.71401709320043
430.34000000000003,8156.848801272755,-4084.9768438738574,-4188.940297933987,128.69401001634736,-17.184746669370625,22.715098807390067
