year,latitude_deg,longitude_deg,north_nT,east_nT,down_nT,declination_deg
1855.0,17.0,67.81491485905865,36418.58090184726,-2.9166946635683644e-13,9986.01997998395,-4.588709669967406e-16
1856.0,17.0,-59.97352630111481,30378.899473604648,-5.187170137865849e-13,35273.733789669845,-9.783203528298896e-16
1856.0,17.0,67.67413549594586,36450.64046097881,5.479297571220343e-12,10030.78847896636,8.61276020275387e-15
1857.0,17.0,-60.13108701351934,30406.563178489934,-3.235181220140326e-11,35261.687975539666,-6.096125655041239e-14
1857.0,17.0,67.52372559400396,36480.28186609182,1.1505588148885693e-12,10070.506665850302,1.8070629063851333e-15
1858.0,17.0,-60.289770993891395,30429.649894045495,1.7985457567704088e-10,35246.91293255379,3.386469495472962e-13
1858.0,17.0,67.3498413660006,36506.379698906865,1.4762774336318785e-12,10104.190102518456,2.316977663497098e-15
1859.0,17.0,-60.44733086919397,30447.95902601968,1.0564174535154791e-11,35227.34750308328,1.9879250835390845e-14
1859.0,17.0,67.13374321781347,36527.98051706707,1.1323719739664284e-12,10130.48489619993,1.7761763456060797e-15
1860.0,17.0,-60.605949631682975,30462.87479827709,-1.626476037186464e-11,35200.241562614996,-3.059140446430163e-14
1860.0,17.0,66.85207561852289,36544.29387091878,-8.150147223773274e-13,10147.63416101305,-1.2778165586723188e-15
1861.0,17.0,-60.76732473410313,30475.552290188072,1.9548571095207024e-10,35163.77424985436,3.675243055816278e-13
1861.0,17.0,66.49325365517453,36555.00687824634,-1.2917583669391774e-12,10154.736298632653,-2.024683043360899e-15
1862.0,17.0,-60.930220823091915,30485.91645791347,2.0597946959188818e-11,35119.96965865851,3.8712151856254906e-14
1862.0,17.0,66.09048651559168,36561.8368106643,8.772149673319518e-14,10154.835170600432,1.3746769784598802e-16
1863.0,17.0,-61.092625054684426,30493.596506596485,-1.3110644514480185e-11,35071.80646385494,-2.463417515259507e-14
1863.0,17.0,65.68637047791,36567.0610737003,1.1540955691113908e-11,10152.091310787926,1.8083160998790158e-14
1864.0,17.0,-61.253353182286254,30498.620385748265,2.0728690292015628e-10,35021.889409371186,3.8941645672644376e-13
1864.0,17.0,65.3108438066497,36572.76118332379,-5.478603681829952e-13,10149.295916659332,-8.582914126178158e-16
1865.0,17.0,-61.41204391367306,30501.40610136664,4.326220631734046e-11,34972.44848405885,8.126647755746427e-14
1865.0,17.0,64.9817825405213,36580.79768009547,2.129039999854143e-12,10147.765942626967,3.3346732204407587e-15
1866.0,17.0,-61.568395482952305,30502.234943916563,-3.048207519729118e-12,34924.803149680476,-5.725791119294738e-15
1866.0,17.0,64.70705468524437,36592.1281010152,1.4698464667617372e-11,10148.447873085212,2.3014785815457153e-14
1867.0,17.0,-61.72259912751967,30500.849501537316,-1.6361573207390734e-10,34876.659438417344,-3.073517971788179e-13
1867.0,17.0,64.46025796893234,36604.17224928929,-8.804068585277491e-13,10150.946350187163,-1.3780832661498252e-15
1868.0,17.0,-61.875258733844056,30496.946342922136,8.972701054377197e-11,34824.89753292043,1.6857356650322837e-13
1868.0,17.0,64.20811931823842,36613.52830273314,1.3528733688872308e-11,10154.38027938046,2.1170845271171904e-14
1869.0,17.0,-62.03071995499574,30491.61668917385,5.247191570134646e-14,34768.39682756672,9.859822597470957e-17
1869.0,17.0,63.93800922596129,36619.04082415914,6.302319777162779e-13,10157.016271832932,9.8608897515149e-16
1869.0,17.0,129.26913149318554,35645.09995078187,2.73232964032033e-11,14982.705368357674,4.391934847847698e-14
1869.0,17.0,130.36292460430866,35526.66290753794,4.4982635671875215e-11,14883.412730225507,7.254594055402335e-14
1870.0,17.0,-62.19700370546632,30487.31546671428,-1.2056183829045608e-10,34708.06633768272,-2.2657568889342168e-13
1870.0,17.0,63.65739163565194,36621.833226335766,3.6029373928769814e-12,10156.365758623977,5.63688620353575e-15
1870.0,17.0,128.02934218229595,35787.31063800349,-3.758937605624624e-13,15141.691635391739,-6.018090111152237e-16
1870.0,17.0,131.9282544752235,35360.57230007691,-1.4068718412474368e-11,14783.492781098403,-2.2795959899976498e-14
1871.0,17.0,-62.379133152943986,30485.86575784243,8.275861940187923e-11,34644.74172536437,1.5553829593431739e-13
1871.0,17.0,63.375890565662296,36623.20437891051,1.1112083475595114e-12,10150.982642684117,1.738448329538562e-15
1871.0,17.0,127.5485275362794,35849.1923622205,9.815481760711009e-13,15229.00453245298,1.5687541105362433e-15
1871.0,17.0,132.7213862343855,35277.137225100414,-4.881669374290354e-11,14748.489151465428,-7.92862103124669e-14
1872.0,17.0,-62.569293278673335,30486.38646335936,-8.498757253505573e-13,34578.45077127027,-1.5972470936078502e-15
1872.0,17.0,63.108446846703224,36624.72822030748,1.2732592757913608e-12,10143.60897230097,1.9918887121810355e-15
1872.0,17.0,127.26633519243593,35891.05654087957,-5.678679748655213e-12,15293.17933051725,-9.065333098616586e-15
1872.0,17.0,133.29622386795577,35217.54716656829,-8.632525944074487e-11,14727.45875248477,-1.404434274747507e-13
1873.0,17.0,-62.756783711722605,30487.384655346446,1.9431911635336974e-10,34508.91543974207,3.6518925357564895e-13
1873.0,17.0,62.87030532823718,36627.9864139184,9.447304050169691e-13,10137.983144297425,1.4778061882372143e-15
1873.0,17.0,127.06405914124046,35925.75824242908,-2.8706204080464204e-13,15343.249237264748,-4.578175716022448e-16
1873.0,17.0,133.7645441089454,35170.113667852114,-6.993530060617204e-11,14709.129099818141,-1.1393189119474001e-13
1874.0,17.0,-62.94070819260165,30488.597190080854,1.4450260432674611e-11,34434.65365058235,2.7155691371937025e-14
1874.0,17.0,62.66573816657299,36633.23685119503,-1.8525736500407675e-12,10136.164148643407,-2.8974958400657774e-15
1874.0,17.0,126.90684559023178,35956.89070391393,5.409284131729919e-13,15381.611133974266,8.619464722000459e-16
