Station,UTC_Hour,Frequency_Hz,PLV
IST,2017-03-28T00,6.532,0.1826508376507531
IST,2017-03-28T00,6.533,0.18814083681568974
IST,2017-03-28T00,6.534,0.1935375389189493
IST,2017-03-28T00,6.535,0.19928725160239213
IST,2017-03-28T00,6.536,0.20493736758747244
IST,2017-03-28T00,6.537,0.21038972298989347
IST,2017-03-28T00,6.538,0.21590344664708425
IST,2017-03-28T00,6.539,0.22067032949170987
IST,2017-03-28T00,6.54,0.22524867241233182
IST,2017-03-28T00,6.541,0.22969860900645114
IST,2017-03-28T00,6.542,0.23413581442043982
IST,2017-03-28T00,6.543,0.2387299116369313
IST,2017-03-28T00,6.544,0.2437194545156039
IST,2017-03-28T00,6.545,0.2494706434303415
IST,2017-03-28T00,6.546,0.2563783928330903
IST,2017-03-28T00,6.547,0.26762624644573985
IST,2017-03-28T00,6.548,0.27980821680465107
IST,2017-03-28T00,6.549,0.2886323882525487
IST,2017-03-28T00,6.55,0.29671134475484473
IST,2017-03-28T00,6.551,0.3043849288626402
IST,2017-03-28T00,6.552,0.3128389671668127
IST,2017-03-28T00,6.553,0.32179893002869503
IST,2017-03-28T00,6.554,0.3324772572760134
IST,2017-03-28T00,6.555,0.34431940856608695
IST,2017-03-28T00,6.556,0.3614321880022336
IST,2017-03-28T00,6.557,0.3769916575046368
IST,2017-03-28T00,6.558,0.3892442873308945
IST,2017-03-28T00,6.559,0.40128662310985563
IST,2017-03-28T00,6.56,0.41291560218076484
IST,2017-03-28T00,6.561,0.4243658406759839
IST,2017-03-28T00,6.562,0.43522349863140214
IST,2017-03-28T00,6.563,0.44587128576485907
IST,2017-03-28T00,6.564,0.45617418223540207
IST,2017-03-28T00,6.565,0.46603401812871753
IST,2017-03-28T00,6.566,0.47538561468758456
IST,2017-03-28T00,6.567,0.48416825255460605
IST,2017-03-28T00,6.568,0.4925613529604956
IST,2017-03-28T00,6.569,0.5008518711631947
IST,2017-03-28T00,6.57,0.5088331817465757
IST,2017-03-28T00,6.571,0.516970700879449
IST,2017-03-28T00,6.572,0.5236344218847288
IST,2017-03-28T00,6.573,0.5292273985079491
IST,2017-03-28T00,6.574,0.5340925836885687
IST,2017-03-28T00,6.575,0.537765979750296
IST,2017-03-28T00,6.576,0.5405974942577179
IST,2017-03-28T00,6.577,0.5426488283074896
IST,2017-03-28T00,6.578,0.5439787460453781
IST,2017-03-28T00,6.579,0.5446610522700153
IST,2017-03-28T00,6.58,0.5447679567771538
IST,2017-03-28T00,6.581,0.5443445297978329
IST,2017-03-28T00,6.582,0.5433847675003768
IST,2017-03-28T00,6.583,0.5417861813672149
IST,2017-03-28T00,6.584,0.5392267884905502
IST,2017-03-28T00,6.585,0.5346702753708487
IST,2017-03-28T00,6.586,0.5242162029238693
IST,2017-03-28T00,6.587,0.518958866434208
IST,2017-03-28T00,6.588,0.5165163200191553
IST,2017-03-28T00,6.589,0.5159192144793353
IST,2017-03-28T00,6.59,0.5168942468167271
IST,2017-03-28T00,6.591,0.5193782830073308
IST,2017-03-28T00,6.592,0.5234539019240237
IST,2017-03-28T00,6.593,0.5294891722879317
IST,2017-03-28T00,6.594,0.5390320704358119
IST,2017-03-28T00,6.595,0.5516626067164978
IST,2017-03-28T00,6.596,0.5596421050562458
IST,2017-03-28T00,6.597,0.5662322892093635
IST,2017-03-28T00,6.598,0.5719849856411988
IST,2017-03-28T00,6.599,0.5778241631767131
IST,2017-03-28T00,6.6,0.5821829910630409
IST,2017-03-28T00,6.601,0.5858457967165385
IST,2017-03-28T00,6.602,0.5883812498211203
IST,2017-03-28T00,6.603,0.5905909394079503
IST,2017-03-28T00,6.604,0.5923013629346624
IST,2017-03-28T00,6.605,0.5927443150806756
IST,2017-03-28T00,6.606,0.5922425535052224
IST,2017-03-28T00,6.607,0.5909568167294117
IST,2017-03-28T00,6.608,0.5885727361256543
IST,2017-03-28T00,6.609,0.585112077652951
IST,2017-03-28T00,6.61,0.5813088231301202
IST,2017-03-28T00,6.611,0.576047183865036
IST,2017-03-28T00,6.612,0.5681655607075693
IST,2017-03-28T00,6.613,0.5580426786186486
IST,2017-03-28T00,6.614,0.5451625902821582
IST,2017-03-28T00,6.615,0.5293121219736793
IST,2017-03-28T00,6.616,0.5098062869930133
IST,2017-03-28T00,6.617,0.48490917717576837
IST,2017-03-28T00,6.618,0.4494793545533559
IST,2017-03-28T00,6.619,0.4243652996375663
IST,2017-03-28T00,6.62,0.4119185708660139
IST,2017-03-28T00,6.621,0.4082677837806099
IST,2017-03-28T00,6.622,0.40136004463532554
IST,2017-03-28T00,6.623,0.39454377500992993
IST,2017-03-28T00,6.624,0.3874181868010062
IST,2017-03-28T00,6.625,0.3804475075913841
IST,2017-03-28T00,6.626,0.3736475888619229
IST,2017-03-28T00,6.627,0.3674037133336586
IST,2017-03-28T00,6.628,0.36072295511932856
IST,2017-03-28T00,6.629,0.35390306457268766
IST,2017-03-28T00,6.63,0.34770643975116106
IST,2017-03-28T00,6.631,0.3403416404045285
IST,2017-03-28T00,6.632,0.3315373541861773
IST,2017-03-28T00,6.633,0.32033357482125874
IST,2017-03-28T00,6.634,0.30609277318464806
IST,2017-03-28T00,6.635,0.29258151241585084
IST,2017-03-28T00,6.636,0.28718439092327086
IST,2017-03-28T00,6.637,0.2989658466301629
IST,2017-03-28T00,6.638,0.329089073080902
IST,2017-03-28T00,6.639,0.35126730097214864
IST,2017-03-28T00,6.64,0.3636659030599422
IST,2017-03-28T00,6.641,0.3731066379930985
IST,2017-03-28T00,6.642,0.38052580190434804
IST,2017-03-28T00,6.643,0.3846994988594483
IST,2017-03-28T00,6.644,0.3866169827085613
IST,2017-03-28T00,6.645,0.38652191638534505
IST,2017-03-28T00,6.646,0.38446844670978225
IST,2017-03-28T00,6.647,0.3804702721511798
IST,2017-03-28T00,6.648,0.3746555566494113
IST,2017-03-28T00,6.649,0.3674099883480507
IST,2017-03-28T00,6.65,0.3607059386800378
IST,2017-03-28T00,6.651,0.35033503370299296
IST,2017-03-28T00,6.652,0.33682099569438134
IST,2017-03-28T00,6.653,0.32150575120629815
IST,2017-03-28T00,6.654,0.3051351618540712
IST,2017-03-28T00,6.655,0.2884577082855398
IST,2017-03-28T00,6.656,0.2721221325255506
IST,2017-03-28T00,6.657,0.25630808577214215
IST,2017-03-28T00,6.658,0.24118804272322802
IST,2017-03-28T00,6.659,0.22698501302362367
IST,2017-03-28T00,6.66,0.2138541760735075
IST,2017-03-28T00,6.661,0.20186152117785178
IST,2017-03-28T00,6.662,0.19124921123686456
IST,2017-03-28T00,6.663,0.18209274476295087
IST,2017-03-28T00,6.664,0.1743227730881367
IST,2017-03-28T00,6.665,0.16742858111061612
IST,2017-03-28T00,6.666,0.16031534835617678
IST,2017-03-28T00,6.667,0.1479903553207353
IST,2017-03-28T00,6.668,0.13718913159492613
IST,2017-03-28T00,6.669,0.12846076521383984
IST,2017-03-28T00,6.67,0.12151000386163038
IST,2017-03-28T00,6.671,0.11658077605107414
IST,2017-03-28T00,6.672,0.11368346930177306
IST,2017-03-28T00,6.673,0.11322607459023168
IST,2017-03-28T00,6.674,0.11530517176137899
IST,2017-03-28T00,6.675,0.11969721279049535
IST,2017-03-28T00,6.676,0.12627888433427842
IST,2017-03-28T00,6.677,0.13861946277654838
IST,2017-03-28T00,6.678,0.14775202339834884
IST,2017-03-28T00,6.679,0.1548021753264233
IST,2017-03-28T00,6.68,0.16228854344301613
IST,2017-03-28T00,6.681,0.17171839574813233
IST,2017-03-28T00,6.682,0.17626333923266152
IST,2017-03-28T00,6.683,0.17850904454538996
IST,2017-03-28T00,6.684,0.17902406631680975
IST,2017-03-28T00,6.685,0.17770820610688112
IST,2017-03-28T00,6.686,0.17420117723513043
IST,2017-03-28T00,6.687,0.16786844395946207
IST,2017-03-28T00,6.688,0.15669673323466163
IST,2017-03-28T00,6.689,0.13819786485410832
IST,2017-03-28T00,6.69,0.12838221865702681
IST,2017-03-28T00,6.691,0.1213081446367747
IST,2017-03-28T00,6.692,0.11569441515750477
IST,2017-03-28T00,6.693,0.11101307884745856
IST,2017-03-28T00,6.694,0.10664953819440944
IST,2017-03-28T00,6.695,0.10327870489744859
IST,2017-03-28T00,6.696,0.1004499881501842
IST,2017-03-28T00,6.697,0.09813876549243843
IST,2017-03-28T00,6.698,0.09633391318236753
IST,2017-03-28T00,6.699,0.09503136478629626
IST,2017-03-28T00,6.7,0.09421825156522673
IST,2017-03-28T00,6.701,0.09377798436771041
IST,2017-03-28T00,6.702,0.09377060085226477
IST,2017-03-28T00,6.703,0.09438728645206831
IST,2017-03-28T00,6.704,0.09554470389082642
IST,2017-03-28T00,6.705,0.09719541889894048
IST,2017-03-28T00,6.706,0.09928334440011288
IST,2017-03-28T00,6.707,0.10174024585964758
IST,2017-03-28T00,6.708,0.10451757856937129
IST,2017-03-28T00,6.709,0.10750657290194555
IST,2017-03-28T00,6.71,0.11062213302547515
IST,2017-03-28T00,6.711,0.11357444693654552
IST,2017-03-28T00,6.712,0.11647984356828638
IST,2017-03-28T00,6.713,0.11958439919815561
IST,2017-03-28T00,6.714,0.12263805830936075
IST,2017-03-28T00,6.715,0.12557442350146986
IST,2017-03-28T00,6.716,0.12861249200971228
IST,2017-03-28T00,6.717,0.13176419767120207
IST,2017-03-28T00,6.718,0.1349940624931482
IST,2017-03-28T00,6.719,0.13824764287129732
IST,2017-03-28T00,6.72,0.1416009281431491
IST,2017-03-28T00,6.721,0.1450171811518293
IST,2017-03-28T00,6.722,0.14837545333456467
IST,2017-03-28T00,6.723,0.15149645889791552
IST,2017-03-28T00,6.724,0.15415952544205755
IST,2017-03-28T00,6.725,0.1561199291244443
IST,2017-03-28T00,6.726,0.15716263184875878
IST,2017-03-28T00,6.727,0.15697647758942762
IST,2017-03-28T00,6.728,0.15538717799183416
IST,2017-03-28T00,6.729,0.15222902631739813
IST,2017-03-28T00,6.73,0.14754251765607682
IST,2017-03-28T00,6.731,0.14113460010845155
IST,2017-03-28T00,6.732,0.13293821107098508
IST,2017-03-28T00,6.733,0.12286823053663996
IST,2017-03-28T00,6.734,0.11112153899157692
IST,2017-03-28T00,6.735,0.09749698399127214
IST,2017-03-28T00,6.736,0.08218136920518125
IST,2017-03-28T00,6.737,0.0651821361312733
IST,2017-03-28T00,6.738,0.04642109299300329
IST,2017-03-28T00,6.739,0.02567995916382347
IST,2017-03-28T00,6.74,0.0026676827744700417
IST,2017-03-28T00,6.741,0.023264239210584008
IST,2017-03-28T00,6.742,0.05363332338749247
IST,2017-03-28T00,6.743,0.08796392661837452
IST,2017-03-28T00,6.744,0.1358821202180925
IST,2017-03-28T00,6.745,0.17076944947495848
IST,2017-03-28T00,6.746,0.19898039190308717
IST,2017-03-28T00,6.747,0.22279166859422256
IST,2017-03-28T00,6.748,0.243058301466949
IST,2017-03-28T00,6.749,0.26021835991271397
IST,2017-03-28T00,6.75,0.2745262825753096
IST,2017-03-28T00,6.751,0.2859804158302243
IST,2017-03-28T00,6.752,0.2948983801704869
IST,2017-03-28T00,6.753,0.30133934132987855
IST,2017-03-28T00,6.754,0.3053406380876063
IST,2017-03-28T00,6.755,0.30673341377341135
IST,2017-03-28T00,6.756,0.3064347795230658
IST,2017-03-28T00,6.757,0.30264118794552586
IST,2017-03-28T00,6.758,0.2954571434752645
IST,2017-03-28T00,6.759,0.28350573659950323
IST,2017-03-28T00,6.76,0.2719646209254709
IST,2017-03-28T00,6.761,0.2592361385251713
IST,2017-03-28T00,6.762,0.24423124476125008
IST,2017-03-28T00,6.763,0.22667996342699812
IST,2017-03-28T00,6.764,0.20550084717660938
IST,2017-03-28T00,6.765,0.18018887821741014
IST,2017-03-28T00,6.766,0.1450913772387832
IST,2017-03-28T00,6.767,0.11510246856764221
IST,2017-03-28T00,6.768,0.08661382493923878
IST,2017-03-28T00,6.769,0.057690564099551055
IST,2017-03-28T00,6.77,0.03814381371239324
IST,2017-03-28T00,6.771,0.024373090792516094
IST,2017-03-28T00,6.772,0.018729220901963297
IST,2017-03-28T00,6.773,0.01469743694178928
IST,2017-03-28T00,6.774,0.016679183611922666
IST,2017-03-28T00,6.775,0.023286578780781077
IST,2017-03-28T00,6.776,0.0311111978497069
IST,2017-03-28T00,6.777,0.039110322308137456
IST,2017-03-28T00,6.778,0.0469397870994171
IST,2017-03-28T00,6.779,0.05442765376968067
IST,2017-03-28T00,6.78,0.061732937795895435
IST,2017-03-28T00,6.781,0.06871987969400645
IST,2017-03-28T00,6.782,0.07519647277347996
IST,2017-03-28T00,6.783,0.08178598661705999
IST,2017-03-28T00,6.784,0.08817999468168103
IST,2017-03-28T00,6.785,0.09448398307721806
IST,2017-03-28T00,6.786,0.10082033521043769
IST,2017-03-28T00,6.787,0.10734651343640156
IST,2017-03-28T00,6.788,0.11413133238133293
IST,2017-03-28T00,6.789,0.1214467164719204
IST,2017-03-28T00,6.79,0.12826337880846606
IST,2017-03-28T00,6.791,0.13347397513957623
