Station,Date,Hour_UTC,Frequency_Hz,PLV,Hour_Threshold,Passed
KNG,20220101,1,7.8,0.18804914799345063,0.3,0
KNG,20220101,1,7.9,0.09107810430829408,0.3,0
KNG,20220101,1,8.0,0.08265770386521387,0.3,0
KNG,20220101,1,8.1,0.12272293194915965,0.3,0
KNG,20220101,1,8.2,0.1906786166987263,0.3,0
KNG,20220101,1,8.3,0.15378333571738467,0.3,0
KNG,20220101,1,8.4,0.07341049690658409,0.3,0
KNG,20220101,1,8.5,0.1502920944433157,0.3,0
KNG,20220101,1,8.6,0.038170762004477686,0.3,0
KNG,20220101,1,8.7,0.0731310138983543,0.3,0
KNG,20220101,1,8.8,0.08772563832245364,0.3,0
KNG,20220101,1,8.9,0.12276396490929686,0.3,0
KNG,20220101,1,9.0,0.16573454772008472,0.3,0
KNG,20220101,1,9.1,0.10515404138634263,0.3,0
KNG,20220101,1,9.2,0.15754692964972167,0.3,0
KNG,20220101,1,9.3,0.3258058033586615,0.3,1
KNG,20220101,1,9.4,0.23374509688019277,0.3,0
KNG,20220101,1,9.5,0.11550372730539148,0.3,0
KNG,20220101,1,9.6,0.24254283640660204,0.3,0
KNG,20220101,1,9.7,0.15430338139493283,0.3,0
KNG,20220101,1,9.8,0.13087237966067722,0.3,0
KNG,20220101,1,9.9,0.14436242211143022,0.3,0
KNG,20220101,1,10.0,0.22708338478713208,0.3,0
KNG,20220101,2,1.0,0.15050871347708097,0.3092782504103335,0
KNG,20220101,2,1.1,0.18542285316295365,0.3092782504103335,0
KNG,20220101,2,1.2,0.1996103355629034,0.3092782504103335,0
KNG,20220101,2,1.3,0.2697948504753809,0.3092782504103335,0
KNG,20220101,2,1.4,0.18083980754076623,0.3092782504103335,0
KNG,20220101,2,1.5,0.2486922849016297,0.3092782504103335,0
KNG,20220101,2,1.6,0.1060730836130926,0.3092782504103335,0
KNG,20220101,2,1.7,0.03595675425576389,0.3092782504103335,0
KNG,20220101,2,1.8,0.22803685760931236,0.3092782504103335,0
KNG,20220101,2,1.9,0.17596261924668724,0.3092782504103335,0
KNG,20220101,2,2.0,0.11426238922648348,0.3092782504103335,0
KNG,20220101,2,2.1,0.3018790939117049,0.3092782504103335,0
KNG,20220101,2,2.2,0.3019229736932425,0.3092782504103335,0
KNG,20220101,2,2.3,0.18203734370628333,0.3092782504103335,0
KNG,20220101,2,2.4,0.22185829595667048,0.3092782504103335,0
KNG,20220101,2,2.5,0.1106445886945119,0.3092782504103335,0
KNG,20220101,2,2.6,0.07244843937285494,0.3092782504103335,0
KNG,20220101,2,2.7,0.16938928596412028,0.3092782504103335,0
