Station,UTC_Hour,Pair,Frequency_Hz,PLV,Hour_Threshold,Passed
IST,2017-03-28T00,H-D,1.234,0.2226385350245198,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.235,0.22370617879115573,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.236,0.22474695827302513,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.237,0.22584251544540124,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.238,0.22698773863115454,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.239,0.22818392227067608,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.24,0.2294396520580687,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.241,0.23075718273518955,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.242,0.2325282233712334,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.243,0.23395481018600459,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.244,0.23534277689653868,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.245,0.2365121186524732,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.246,0.23753473686037865,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.247,0.23878561656647593,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.248,0.239884312546995,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.249,0.24068725436512034,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.25,0.24184359025403443,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.251,0.2430667914495386,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.252,0.2442877600677509,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.253,0.24559366030435628,0.3742586419530446,0
