Station,UTC_Hour,Pair,Frequency_Hz,PLV,Score
IST,2017-03-28T00,H-D,1.751,0.45105827980947694,4.510582798094769
IST,2017-03-28T00,H-D,1.752,0.452036122894655,4.52036122894655
IST,2017-03-28T00,H-D,1.753,0.45294955996154584,4.5294955996154584
IST,2017-03-28T00,H-D,1.754,0.4537943030350348,4.537943030350348
IST,2017-03-28T00,H-D,1.755,0.454569086932601,4.54569086932601
IST,2017-03-28T00,H-D,1.756,0.45527303629800536,4.5527303629800535
IST,2017-03-28T00,H-D,1.757,0.4559044363671113,4.559044363671113
IST,2017-03-28T00,H-D,1.758,0.4564596962285326,4.564596962285326
IST,2017-03-28T00,H-D,1.759,0.45693154179327466,4.569315417932747
IST,2017-03-28T00,H-D,1.76,0.4573051111811187,4.573051111811187
IST,2017-03-28T00,H-D,1.761,0.4575475069246881,4.575475069246881
IST,2017-03-28T00,H-D,1.762,0.4575717588348135,4.575717588348135
IST,2017-03-28T00,H-D,1.763,0.4572174212555562,4.572174212555562
IST,2017-03-28T00,H-D,1.764,0.4566140995861723,4.566140995861723
IST,2017-03-28T00,H-D,1.765,0.45654427494712757,4.565442749471275
IST,2017-03-28T00,H-D,1.766,0.4565781495673129,4.565781495673129
IST,2017-03-28T00,H-D,1.767,0.4566716858779989,4.566716858779989
IST,2017-03-28T00,H-D,1.768,0.4568101450116333,4.568101450116333
IST,2017-03-28T00,H-D,1.769,0.45711206161205215,4.571120616120521
IST,2017-03-28T00,H-D,1.77,0.45705240711955986,4.570524071195599
IST,2017-03-28T00,H-D,1.771,0.457198679568288,4.57198679568288
IST,2017-03-28T00,H-D,1.772,0.4573684650630687,4.573684650630687
IST,2017-03-28T00,H-D,1.773,0.4575471306859281,4.575471306859281
IST,2017-03-28T00,H-D,1.774,0.45772997727812736,4.577299772781274
IST,2017-03-28T00,H-D,1.775,0.45791463504292707,4.579146350429271
IST,2017-03-28T00,H-D,1.776,0.45809964426093513,4.580996442609352
IST,2017-03-28T00,H-D,1.777,0.45828402218353437,4.582840221835344
IST,2017-03-28T00,H-D,1.778,0.45846718112972873,4.584671811297287
IST,2017-03-28T00,H-D,1.779,0.4586498697725625,4.5864986977256255
IST,2017-03-28T00,H-D,1.78,0.4588376197879084,4.588376197879084
IST,2017-03-28T00,H-D,1.781,0.45904094762496117,4.5904094762496115
IST,2017-03-28T00,H-D,1.782,0.4591889223199974,4.591889223199974
IST,2017-03-28T00,H-D,1.783,0.4592442979113232,4.592442979113232
IST,2017-03-28T00,H-D,1.784,0.45941241594454024,4.5941241594454025
IST,2017-03-28T00,H-D,1.785,0.4596286784135495,4.596286784135495
IST,2017-03-28T00,H-D,1.786,0.45985238900350345,4.598523890035034
IST,2017-03-28T00,H-D,1.787,0.46007348460839437,4.6007348460839435
IST,2017-03-28T00,H-D,1.788,0.4600563867799423,4.600563867799423
IST,2017-03-28T00,H-D,1.789,0.45999582370931535,4.599958237093153
IST,2017-03-28T00,H-D,1.79,0.4601438875010276,4.601438875010276
IST,2017-03-28T00,H-D,1.791,0.4602773706974908,4.602773706974908
IST,2017-03-28T00,H-D,1.792,0.4603907176489272,4.603907176489272
IST,2017-03-28T00,H-D,1.793,0.46059855420328155,4.6059855420328155
IST,2017-03-28T00,H-D,1.794,0.4605637177185956,4.605637177185956
IST,2017-03-28T00,H-D,1.795,0.46066140075406964,4.6066140075406965
IST,2017-03-28T00,H-D,1.796,0.46078858431601843,4.607885843160185
IST,2017-03-28T00,H-D,1.797,0.4609125821823482,4.609125821823482
IST,2017-03-28T00,H-D,1.798,0.4610213531994994,4.610213531994994
IST,2017-03-28T00,H-D,1.799,0.46110655510398296,4.61106555103983
IST,2017-03-28T00,H-D,1.8,0.46116123326919856,4.611612332691985
IST,2017-03-28T00,H-D,1.801,0.4611779657006799,4.6117796570067995
